"column_name","data_type"
"quarter","bigint"
"year","bigint"
"month_number","bigint"
"start_of_year","text"
"start_of_quarter","text"
"start_of_month","text"
"date","text"
"start_of_week","text"
"day_of_week","character varying"
"month_name","character varying"
