"column_name","data_type"
"index","bigint"
"card_number","bigint"
"product_quantity","bigint"
"store_code","text"
"product_code","text"
"shipping_time","text"
"order_date","text"
"order_time","text"
"customer_id","text"
"shipping_date","text"
