"column_name","data_type"
"staff_numbers","bigint"
"latitude","double precision"
"longitude","double precision"
"country_code","text"
"region","text"
"country_region","text"
"country","text"
"geography","text"
"store_code","text"
"world_region","text"
"date_opened","text"
"store_type","text"
